"filename", "language", "Markdown", "TypeScript", "JSON with Comments", "JSON", "JavaScript", "TypeScript JSX", "Properties", "comment", "blank", "total"
"d:\CodeData\Project\bee-channel-app\store\hook.ts", "TypeScript", 0, 124, 0, 0, 0, 0, 0, 0, 12, 136
"d:\CodeData\Project\bee-channel-app\store\index.ts", "TypeScript", 0, 17, 0, 0, 0, 0, 0, 0, 3, 20
"d:\CodeData\Project\bee-channel-app\store\slices\appSlice.ts", "TypeScript", 0, 21, 0, 0, 0, 0, 0, 2, 6, 29
"d:\CodeData\Project\bee-channel-app\store\slices\chatSlice.ts", "TypeScript", 0, 48, 0, 0, 0, 0, 0, 2, 6, 56
"d:\CodeData\Project\bee-channel-app\store\slices\searchSlice.ts", "TypeScript", 0, 37, 0, 0, 0, 0, 0, 2, 6, 45
"d:\CodeData\Project\bee-channel-app\tailwind.config.js", "JavaScript", 0, 0, 0, 0, 11, 0, 0, 1, 1, 13
"d:\CodeData\Project\bee-channel-app\tsconfig.json", "JSON with Comments", 0, 0, 17, 0, 0, 0, 0, 0, 1, 18
"d:\CodeData\Project\bee-channel-app\utils\common\calculateUtil.ts", "TypeScript", 0, 45, 0, 0, 0, 0, 0, 0, 6, 51
"d:\CodeData\Project\bee-channel-app\utils\common\fetchUtil.ts", "TypeScript", 0, 66, 0, 0, 0, 0, 0, 1, 12, 79
"d:\CodeData\Project\bee-channel-app\utils\common\tokenUtils.ts", "TypeScript", 0, 41, 0, 0, 0, 0, 0, 0, 13, 54
"Total", "-", 407, 657, 17, 113, 25, 3198, 15, 37, 355, 4824
