"filename", "language", "JSON with Comments", "JSON", "JavaScript", "TypeScript", "Markdown", "TypeScript JSX", "Properties", "comment", "blank", "total"
"d:\CodeData\Project\bee-channel-app\components\UserScreen.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 267, 0, 1, 13, 281
"d:\CodeData\Project\bee-channel-app\components\VideoAssembly.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 451, 0, 0, 19, 470
"d:\CodeData\Project\bee-channel-app\components\VideoPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 590, 0, 0, 18, 608
"d:\CodeData\Project\bee-channel-app\components\__tests__\StyledText-test.js", "JavaScript", 0, 0, 7, 0, 0, 0, 0, 0, 4, 11
"d:\CodeData\Project\bee-channel-app\components\useClientOnlyValue.ts", "TypeScript", 0, 0, 0, 3, 0, 0, 0, 1, 1, 5
"d:\CodeData\Project\bee-channel-app\components\useClientOnlyValue.web.ts", "TypeScript", 0, 0, 0, 8, 0, 0, 0, 2, 3, 13
"d:\CodeData\Project\bee-channel-app\components\useColorScheme.ts", "TypeScript", 0, 0, 0, 1, 0, 0, 0, 0, 1, 2
"d:\CodeData\Project\bee-channel-app\components\useColorScheme.web.ts", "TypeScript", 0, 0, 0, 3, 0, 0, 0, 5, 1, 9
"d:\CodeData\Project\bee-channel-app\components\useWebSocket.ts", "TypeScript", 0, 0, 0, 26, 0, 0, 0, 0, 5, 31
"d:\CodeData\Project\bee-channel-app\constants\Colors.ts", "TypeScript", 0, 0, 0, 24, 0, 0, 0, 0, 3, 27
"d:\CodeData\Project\bee-channel-app\package.json", "JSON", 0, 72, 0, 0, 0, 0, 0, 0, 1, 73
"d:\CodeData\Project\bee-channel-app\store\assembly\appAssembly.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 8, 0, 0, 2, 10
"d:\CodeData\Project\bee-channel-app\store\hook.ts", "TypeScript", 0, 0, 0, 130, 0, 0, 0, 0, 11, 141
"d:\CodeData\Project\bee-channel-app\store\index.ts", "TypeScript", 0, 0, 0, 19, 0, 0, 0, 0, 3, 22
"d:\CodeData\Project\bee-channel-app\store\slices\appSlice.ts", "TypeScript", 0, 0, 0, 26, 0, 0, 0, 2, 6, 34
"d:\CodeData\Project\bee-channel-app\store\slices\chatSlice.ts", "TypeScript", 0, 0, 0, 48, 0, 0, 0, 2, 6, 56
"d:\CodeData\Project\bee-channel-app\store\slices\liveSlice.ts", "TypeScript", 0, 0, 0, 38, 0, 0, 0, 0, 6, 44
"d:\CodeData\Project\bee-channel-app\store\slices\searchSlice.ts", "TypeScript", 0, 0, 0, 37, 0, 0, 0, 2, 6, 45
"d:\CodeData\Project\bee-channel-app\tailwind.config.js", "JavaScript", 0, 0, 11, 0, 0, 0, 0, 1, 1, 13
"d:\CodeData\Project\bee-channel-app\tsconfig.json", "JSON with Comments", 17, 0, 0, 0, 0, 0, 0, 0, 1, 18
"d:\CodeData\Project\bee-channel-app\utils\common\calculateUtil.ts", "TypeScript", 0, 0, 0, 45, 0, 0, 0, 0, 6, 51
"d:\CodeData\Project\bee-channel-app\utils\common\fetchUtil.ts", "TypeScript", 0, 0, 0, 82, 0, 0, 0, 1, 14, 97
"d:\CodeData\Project\bee-channel-app\utils\common\tokenUtils.ts", "TypeScript", 0, 0, 0, 43, 0, 0, 0, 0, 14, 57
"Total", "-", 17, 115, 25, 793, 407, 5322, 15, 80, 507, 7281
